Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSeconds,DriverID,TeamID,TyreCode,StintNorm,LapTrend,TimeSeconds,PaceDeviation,DeltaToBest,RollingAvgDriver
0 days 00:21:54.042000,SAI,55,0 days 00:01:22.321000,2.0,1.0,,,0 days 00:00:27.450000,0 days 00:00:27.716000,0 days 00:00:27.155000,0 days 00:20:59.171000,0 days 00:21:26.887000,0 days 00:21:54.042000,323.0,339.0,315.0,344.0,True,HARD,2.0,True,Ferrari,0 days 00:20:31.721000,2023-09-02 14:05:31.832,1,,False,,False,True,82.321,0,0,0,0.0,0.08695652173913043,1314.042,2.027000000000001,2.027000000000001,82.321
0 days 00:23:58.446000,SAI,55,0 days 00:02:04.404000,3.0,1.0,,0 days 00:23:52.297000,0 days 00:00:46.347000,0 days 00:00:38.123000,0 days 00:00:39.934000,0 days 00:22:40.389000,0 days 00:23:18.512000,0 days 00:23:58.446000,251.0,294.0,,130.0,False,HARD,3.0,True,Ferrari,0 days 00:21:54.042000,2023-09-02 14:06:54.153,1,,False,,False,False,124.404,0,0,0,0.0,0.13043478260869565,1438.446,44.11,44.11,103.3625
0 days 00:26:20.784000,SAI,55,0 days 00:02:22.338000,4.0,2.0,0 days 00:24:23.406000,,0 days 00:01:10.499000,0 days 00:00:37.488000,0 days 00:00:34.351000,0 days 00:25:08.945000,0 days 00:25:46.433000,0 days 00:26:20.784000,262.0,261.0,311.0,84.0,False,HARD,4.0,False,Ferrari,0 days 00:23:58.446000,2023-09-02 14:08:58.557,1,,False,,False,False,142.338,0,0,0,0.16666666666666666,0.17391304347826086,1580.784,62.044,62.044,133.37099999999998
0 days 00:27:42.749000,SAI,55,0 days 00:01:21.965000,5.0,2.0,,,0 days 00:00:27.262000,0 days 00:00:27.655000,0 days 00:00:27.048000,0 days 00:26:48.046000,0 days 00:27:15.701000,0 days 00:27:42.749000,321.0,336.0,307.0,343.0,True,HARD,5.0,False,Ferrari,0 days 00:26:20.784000,2023-09-02 14:11:20.895,1,,False,,False,True,81.965,0,0,0,0.16666666666666666,0.21739130434782608,1662.749,1.6710000000000065,1.6710000000000065,112.1515
0 days 00:29:42.654000,SAI,55,0 days 00:01:59.905000,6.0,2.0,,0 days 00:29:37.418000,0 days 00:00:40.624000,0 days 00:00:36.552000,0 days 00:00:42.729000,0 days 00:28:23.373000,0 days 00:28:59.925000,0 days 00:29:42.654000,273.0,269.0,,145.0,False,HARD,6.0,False,Ferrari,0 days 00:27:42.749000,2023-09-02 14:12:42.860,1,,False,,False,False,119.905,0,0,0,0.16666666666666666,0.2608695652173913,1782.654,39.611000000000004,39.611000000000004,100.935
0 days 00:32:10.227000,SAI,55,0 days 00:02:27.573000,7.0,3.0,0 days 00:30:11.871000,,0 days 00:01:18.766000,0 days 00:00:34.122000,0 days 00:00:34.685000,0 days 00:31:01.420000,0 days 00:31:35.542000,0 days 00:32:10.227000,279.0,295.0,312.0,94.0,False,HARD,7.0,False,Ferrari,0 days 00:29:42.654000,2023-09-02 14:14:42.765,1,,False,,False,False,147.573,0,0,0,0.3333333333333333,0.30434782608695654,1930.227,67.27900000000001,67.27900000000001,133.739
0 days 00:33:32.313000,SAI,55,0 days 00:01:22.086000,8.0,3.0,,,0 days 00:00:27.304000,0 days 00:00:27.688000,0 days 00:00:27.094000,0 days 00:32:37.531000,0 days 00:33:05.219000,0 days 00:33:32.313000,325.0,343.0,313.0,350.0,False,HARD,8.0,False,Ferrari,0 days 00:32:10.227000,2023-09-02 14:17:10.338,1,,False,,False,True,82.086,0,0,0,0.3333333333333333,0.34782608695652173,2012.313,1.7920000000000016,1.7920000000000016,114.8295
0 days 00:35:20.912000,SAI,55,0 days 00:01:48.599000,9.0,3.0,,0 days 00:35:17.117000,0 days 00:00:35.911000,0 days 00:00:33.769000,0 days 00:00:38.919000,0 days 00:34:08.224000,0 days 00:34:41.993000,0 days 00:35:20.912000,245.0,268.0,,203.0,False,HARD,9.0,False,Ferrari,0 days 00:33:32.313000,2023-09-02 14:18:32.424,1,,False,,False,False,108.599,0,0,0,0.3333333333333333,0.391304347826087,2120.912,28.305000000000007,28.305000000000007,95.3425
0 days 00:45:34.770000,SAI,55,0 days 00:01:20.991000,11.0,4.0,,,0 days 00:00:26.846000,0 days 00:00:27.268000,0 days 00:00:26.877000,0 days 00:44:40.625000,0 days 00:45:07.893000,0 days 00:45:34.770000,323.0,339.0,311.0,348.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:44:13.779000,2023-09-02 14:29:13.890,1,,False,,False,True,80.991,0,0,1,0.5,0.4782608695652174,2734.77,0.6970000000000027,0.6970000000000027,94.795
0 days 00:47:22.685000,SAI,55,0 days 00:01:47.915000,12.0,4.0,,0 days 00:47:18.781000,0 days 00:00:34.336000,0 days 00:00:35.383000,0 days 00:00:38.196000,0 days 00:46:09.106000,0 days 00:46:44.489000,0 days 00:47:22.685000,247.0,269.0,,222.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:45:34.770000,2023-09-02 14:30:34.881,1,,False,,False,False,107.915,0,0,1,0.5,0.5217391304347826,2842.685,27.62100000000001,27.62100000000001,94.453
